Country,Year,Life expectancy,"Number of death due to tuberculosis, excluding HIV",Age-standarized suicide rates (per 100000 population),Total NCD Death(inthousands),Per adult national income,"School enrollment, tertiary (% gross)",Prevalence of undernourishment (% of population)
The Gambia,2019,16.85,480,9.64,595.5,5457.1523,,18
Georgia,2000,16.99,330,6.6,883.8,11739.0756,39.05968857,7.7
Georgia,2010,18.22,210,6.98,745.6,15064.7362,32.58370972,6.7
Georgia,2015,18.43,150,8.79,727.1,16945.3919,46.48112869,8.1
Georgia,2019,18.76,140,7.65,695.4,19827.6978,63.91550064,7.8
Germany,2000,21.75,620,11.16,462.3,152769.2407,,2.5
Germany,2010,23.15,350,9.5,384,163090.9562,,2.5
Germany,2015,23.21,320,9,375,196878.097,67.74687195,2.5
Germany,2019,24.41,270,8.27,329.3,249538.4159,73.52105713,2.5
Ghana,2000,16.05,9100,9.75,659.2,3145.9184,,14.9
Ghana,2010,16.21,10000,13.26,695.4,9391.528,,6.1
Ghana,2015,16.8,11000,12.02,655.8,11458.4607,15.69071007,7.7
Ghana,2019,17.25,11000,10.54,618.3,13238.0885,17.23296928,5.2
Greece,2000,21.54,90,2.86,469,111620.7463,50.7843399,2.5
Greece,2010,23.33,78,2.72,382.2,101528.5088,103.7962799,2.5
Greece,2015,23.46,45,3.78,356.2,81790.1068,,2.5
Greece,2019,23.84,44,3.62,329,80667.5386,148.5308838,2.5
Grenada,2000,17.86,1,2.12,669.4,10071.4514,,
Grenada,2010,17.74,1,0.73,714,3614.701,,
Grenada,2015,18.86,2,0.62,614.6,2881.0379,95.62065887,
Grenada,2019,18.73,2,0.64,617.9,18486.5288,,
Guatemala,2000,19.11,600,13.48,531.3,14948.7529,,22.2
Guatemala,2010,19.55,410,8.66,545.6,21438.2667,,16.4
Guatemala,2015,19.85,380,6.4,538.6,23080.9436,21.78329086,17.3
Guatemala,2019,20.47,390,6.23,496.5,25408.3702,22.14220047,16.3
Guinea,2000,15.69,4400,9.73,617.5,5698.9673,,
Guinea,2010,15.79,3100,12.47,690.9,7372.2324,10.90025043,
Guinea,2015,15.89,2900,12.99,698.7,7726.8919,9.360919952,
Guinea,2019,16.54,2400,12.33,660.2,10394.5261,7.018630028,
Guinea-Bissau,2000,13.83,660,17.54,823.7,5026.938,,
Guinea-Bissau,2010,14.59,880,15.39,772.9,7605.2578,,
Guinea-Bissau,2015,15.03,1400,13.08,699.1,8920.6142,,
Guinea-Bissau,2019,15.5,1400,12.38,672.1,8999.2295,,
Guyana,2000,15.93,83,35.75,905.6,86975.3727,,6.5
Guyana,2010,16.17,150,36.37,837.5,121452.1484,11.69943047,8.7
Guyana,2015,16.61,94,39.3,799.7,126820.3007,,6.8
Guyana,2019,16.55,100,40.85,800.5,134395.8595,,5
Haiti,2000,15.77,1500,12.72,923,6929.7996,,50.7
Haiti,2010,11.46,980,13.2,865.5,9490.1823,,44.4
Haiti,2015,16.47,1100,11.97,871.5,9946.8635,,42.4
Haiti,2019,16.77,1000,11.17,837.3,10089.9164,,46.4
Honduras,2000,19.55,430,3.01,561.1,6685.109,13.06748009,21.9
Honduras,2010,18.86,370,2.66,574.2,11943.4307,19.51005936,15.8
Honduras,2015,17.87,350,4.57,689.9,11440.8278,20.39551926,14.5
Honduras,2019,18.35,460,2.58,613.5,12705.8155,25.45789909,13.3
Hungary,2000,17.96,410,26.62,772.6,76208.0741,35.94100952,2.5
Hungary,2010,19.67,150,19.17,625.1,86548.4715,63.72238922,2.5
Hungary,2015,19.9,100,14.6,588.3,100313.966,48.96213913,2.5
Hungary,2019,20.22,62,11.77,554.5,131724.4623,52.44464874,2.5
Iceland,2000,22.62,2,12.68,390.2,186753.1238,46.09698868,2.5
Iceland,2010,23.91,3,11.79,330.8,177608.6055,78.8184433,2.5
Iceland,2015,24.41,2,13.17,313,246520.4417,75.76605988,2.5
Iceland,2019,24.64,2,11.15,304.9,321197.7669,77.58883667,2.5
India,2000,16.12,617000,19.09,687.3,12963.3188,9.508720398,18.4
